Student_ID,Gender,Age,Major,Attendance_Pct,Study_Hours_Per_Day,Previous_CGPA,Sleep_Hours,Social_Hours_Week,Final_CGPA,Grade_Category
ID00125,Male,19,Psychology,79.6,12.5,3.79,8.5,11,4.0,Excellent
ID00126,Male,23,Economics,89.4,2.9,3.23,4.5,4,3.41,Good
ID00127,Female,18,Computer Science,93.0,2.8,2.87,6.7,8,3.12,Good
ID00128,Female,20,Engineering,100.0,5.9,2.44,7.8,6,3.06,Good
ID00129,Male,19,Mathematics,79.1,4.9,2.48,6.6,6,2.7,Average
ID00130,Male,23,Mathematics,100.0,2.7,3.31,8.8,11,3.31,Good
ID00131,Male,20,Mathematics,75.1,8.4,2.55,4.9,3,2.52,Average
ID00132,Male,19,Economics,100.0,1.6,3.15,8.2,10,3.11,Good
ID00133,Male,22,Business,97.3,4.0,4.0,7.1,9,4.0,Excellent
ID00134,Male,23,Economics,71.3,3.4,2.93,5.7,4,2.98,Average
ID00135,Female,22,Computer Science,89.6,3.8,2.62,7.7,13,2.97,Average
ID00136,Male,18,Computer Science,84.2,2.7,3.29,6.9,7,3.59,Excellent
ID00137,Male,23,Computer Science,94.4,3.8,2.49,9.2,11,2.63,Average
ID00138,Female,24,Computer Science,81.7,4.6,3.96,7.9,6,4.0,Excellent
ID00139,Male,18,Computer Science,80.4,0.7,3.8,7.6,9,3.89,Excellent
ID00140,Female,20,Psychology,100.0,3.1,3.02,6.0,5,3.23,Good
ID00141,Female,19,Mathematics,83.5,2.5,2.65,7.2,6,2.88,Average
ID00142,Male,21,Economics,97.4,10.3,2.89,6.1,7,3.37,Good
ID00143,Male,18,Psychology,81.6,5.3,2.95,6.9,5,3.55,Excellent
ID00144,Male,21,Economics,100.0,2.4,3.29,8.9,11,3.63,Excellent
ID00145,Male,21,Business,74.8,3.0,3.62,6.6,6,3.74,Excellent
ID00146,Male,19,Engineering,75.8,3.4,2.58,4.8,9,2.53,Average
ID00147,Female,20,Mathematics,100.0,2.9,3.61,7.7,10,4.0,Excellent
ID00148,Male,19,Business,78.3,5.5,3.41,8.2,9,3.62,Excellent
ID00149,Male,23,Psychology,100.0,9.3,2.85,9.4,11,3.28,Good
ID00150,Male,18,Engineering,98.4,0.4,2.56,8.3,10,2.58,Average
ID00151,Female,21,Business,82.7,3.3,3.16,6.6,8,3.57,Excellent
ID00152,Male,19,Economics,57.8,11.9,2.57,7.4,15,2.77,Average
ID00153,Male,19,Engineering,84.7,3.4,3.61,7.6,3,4.0,Excellent
ID00154,Male,19,Economics,86.5,4.7,2.54,7.7,8,2.86,Average
ID00155,Female,18,Business,100.0,0.8,3.37,4.0,7,3.38,Good
ID00156,Male,20,Psychology,100.0,8.3,3.06,6.1,6,3.66,Excellent
ID00157,Female,24,Economics,74.7,2.0,2.82,7.7,4,2.63,Average
ID00158,Female,19,Engineering,97.0,5.2,3.05,8.6,8,3.18,Good
ID00159,Male,18,Business,96.5,2.2,3.64,6.0,9,3.8,Excellent
ID00160,Female,21,Economics,100.0,0.5,2.5,6.4,3,2.54,Average
ID00161,Male,23,Psychology,92.5,4.9,2.89,6.6,7,3.09,Good
ID00162,Female,24,Mathematics,55.9,6.2,2.72,6.8,7,2.69,Average
ID00163,Female,22,Psychology,82.7,3.9,3.08,8.3,9,3.34,Good
ID00164,Male,24,Psychology,67.7,1.8,2.76,5.9,10,2.67,Average
ID00165,Male,24,Mathematics,82.0,13.2,2.22,8.3,8,2.8,Average
ID00166,Female,18,Psychology,99.7,6.0,2.57,9.1,9,2.82,Average
ID00167,Male,22,Mathematics,89.6,4.5,3.92,6.4,5,4.0,Excellent
ID00168,Male,19,Mathematics,100.0,7.6,3.22,6.4,4,3.95,Excellent
ID00169,Male,19,Economics,90.1,2.9,3.21,7.2,11,3.35,Good
ID00170,Female,24,Economics,65.5,10.9,2.96,6.1,6,3.19,Good
ID00171,Female,18,Mathematics,47.2,6.1,3.07,6.9,7,2.97,Average
ID00172,Male,22,Business,87.2,7.2,2.89,4.8,5,3.23,Good
ID00173,Male,19,Engineering,81.8,3.3,3.36,8.3,6,3.73,Excellent
ID00174,Male,21,Business,70.3,2.0,3.15,9.5,10,3.13,Good
ID00175,Female,20,Mathematics,59.5,4.5,2.51,6.0,2,2.43,Poor
ID00176,Male,20,Engineering,74.0,3.0,3.23,4.5,7,3.22,Good
ID00177,Female,19,Economics,82.1,11.6,1.87,8.4,14,2.35,Poor
ID00178,Male,22,Engineering,95.0,1.6,3.31,6.4,3,3.37,Good
ID00179,Female,23,Mathematics,87.8,8.7,2.4,6.0,11,2.81,Average
ID00180,Male,19,Economics,100.0,1.2,3.05,6.8,5,3.38,Good
ID00181,Male,23,Engineering,69.5,2.2,2.5,5.2,8,2.42,Poor
ID00182,Male,23,Engineering,98.2,1.2,3.1,7.7,5,3.5,Excellent
ID00183,Female,22,Business,85.7,2.9,3.39,5.1,10,3.64,Excellent
ID00184,Female,23,Engineering,95.4,3.6,3.85,5.2,10,3.98,Excellent
ID00185,Male,21,Mathematics,78.5,2.7,2.33,5.2,12,2.05,Poor
ID00186,Female,22,Computer Science,100.0,5.2,3.59,7.2,6,3.95,Excellent
ID00187,Female,19,Computer Science,89.4,3.6,3.17,4.3,7,3.28,Good
ID00188,Female,24,Computer Science,74.8,0.9,2.87,10.0,11,2.72,Average
ID00189,Male,21,Mathematics,84.8,2.1,3.48,6.4,4,3.57,Excellent
ID00190,Male,18,Computer Science,81.4,3.3,2.98,4.0,9,3.3,Good
ID00191,Male,20,Business,92.3,7.4,3.46,5.4,12,3.96,Excellent
ID00192,Female,19,Mathematics,67.3,4.3,2.6,7.9,11,2.76,Average
ID00193,Female,19,Economics,84.6,3.0,2.78,9.0,10,3.17,Good
ID00194,Female,19,Mathematics,90.9,1.5,3.57,7.2,5,3.86,Excellent
ID00195,Male,21,Mathematics,85.5,4.5,3.84,7.1,5,4.0,Excellent
ID00196,Male,18,Engineering,100.0,8.4,3.08,4.7,9,3.38,Good
ID00197,Female,24,Engineering,96.6,3.4,1.71,9.2,11,2.11,Poor
ID00198,Female,22,Engineering,84.9,2.3,3.0,7.8,10,3.15,Good
ID00199,Female,18,Psychology,88.3,5.6,3.12,7.5,10,3.55,Excellent
ID00200,Female,21,Business,89.4,7.6,2.98,7.0,11,3.69,Excellent
ID00201,Female,19,Mathematics,91.0,3.6,3.27,7.8,6,3.47,Good
ID00202,Male,20,Mathematics,57.6,6.0,2.86,5.8,7,2.42,Poor
ID00203,Male,19,Engineering,80.5,3.1,3.52,8.4,9,3.64,Excellent
ID00204,Female,22,Mathematics,62.7,6.2,2.52,8.2,3,2.44,Poor
ID00205,Female,23,Economics,100.0,8.6,3.72,6.9,10,4.0,Excellent
ID00206,Male,20,Mathematics,84.1,6.7,3.88,6.6,3,4.0,Excellent
ID00207,Male,19,Computer Science,82.1,5.5,2.64,4.0,8,2.79,Average
ID00208,Female,24,Economics,98.5,10.2,2.64,4.4,5,3.36,Good
ID00209,Male,20,Economics,91.3,3.5,3.31,7.8,13,3.45,Good
ID00210,Male,23,Mathematics,68.1,5.5,2.51,8.4,15,2.44,Poor
ID00211,Male,18,Psychology,83.9,3.5,2.85,8.6,7,2.97,Average
ID00212,Female,21,Engineering,80.0,5.5,3.65,5.0,5,3.78,Excellent
ID00213,Female,19,Business,58.8,6.1,3.47,10.0,10,3.09,Good
ID00214,Male,22,Business,74.6,7.0,4.0,8.5,7,4.0,Excellent
ID00215,Female,18,Computer Science,82.2,4.2,3.19,6.1,6,3.37,Good
ID00216,Male,19,Business,83.3,1.1,2.79,7.2,6,2.8,Average
ID00217,Male,18,Business,62.8,3.6,3.13,4.5,6,3.11,Good
ID00218,Female,22,Engineering,100.0,5.9,3.02,6.1,11,3.3,Good
ID00219,Female,19,Engineering,83.5,4.9,3.03,7.8,9,3.37,Good
ID00220,Female,23,Psychology,85.6,5.3,3.09,7.1,14,3.31,Good
ID00221,Female,23,Computer Science,91.0,6.3,2.63,9.6,14,2.94,Average
ID00222,Female,22,Business,73.2,1.9,3.24,4.8,9,3.01,Good
ID00223,Male,20,Psychology,91.8,6.5,2.4,6.8,4,2.92,Average
ID00224,Male,22,Computer Science,79.5,10.5,2.74,5.3,10,3.01,Good
ID00225,Male,20,Economics,71.6,3.3,3.04,9.3,8,3.03,Good
ID00226,Male,19,Business,93.6,7.0,1.97,7.4,9,2.64,Average
ID00227,Female,20,Business,100.0,4.3,3.48,7.0,10,3.96,Excellent
ID00228,Male,19,Engineering,95.9,5.2,2.07,6.8,9,2.65,Average
ID00229,Female,19,Mathematics,98.8,6.7,3.43,5.7,12,3.64,Excellent
ID00230,Female,24,Computer Science,77.2,4.9,2.45,8.8,4,2.64,Average
ID00231,Female,21,Business,61.0,3.1,2.9,7.3,16,2.53,Average
ID00232,Male,19,Computer Science,100.0,5.0,3.36,7.4,3,3.67,Excellent
ID00233,Female,20,Psychology,100.0,2.3,4.0,7.9,3,4.0,Excellent
ID00234,Male,21,Psychology,100.0,1.5,3.16,5.7,11,3.4,Good
ID00235,Male,21,Mathematics,80.0,0.8,2.11,10.0,3,2.38,Poor
ID00236,Female,19,Business,67.7,8.9,3.58,9.4,10,3.8,Excellent
ID00237,Male,22,Engineering,69.0,5.4,2.98,6.9,8,2.96,Average
ID00238,Male,22,Business,59.7,6.1,3.13,6.5,7,2.87,Average
ID00239,Female,23,Computer Science,83.4,4.7,3.38,8.0,12,3.73,Excellent
ID00240,Male,21,Economics,100.0,1.2,1.99,8.7,5,2.05,Poor
ID00241,Female,19,Psychology,82.9,8.6,3.1,9.6,7,3.48,Good
ID00242,Female,24,Computer Science,89.5,3.1,2.9,8.0,7,3.35,Good
ID00243,Female,22,Mathematics,100.0,0.8,3.71,7.2,12,3.81,Excellent
ID00244,Male,24,Psychology,78.9,3.5,3.46,7.2,8,3.52,Excellent
ID00245,Male,19,Engineering,100.0,8.0,2.29,4.2,17,2.43,Poor
ID00246,Female,19,Psychology,100.0,2.3,3.73,6.4,9,4.0,Excellent
ID00247,Male,21,Economics,83.0,3.4,3.32,7.5,9,3.69,Excellent
ID00248,Female,24,Business,76.3,3.2,2.33,4.0,9,2.17,Poor
ID00249,Female,23,Economics,95.5,2.2,3.13,7.3,7,3.45,Good
ID00250,Female,21,Economics,79.8,4.4,3.62,5.8,5,3.52,Excellent
ID00251,Male,18,Business,67.7,2.4,2.49,9.4,6,2.2,Poor
ID00252,Male,24,Psychology,100.0,8.8,3.79,6.6,8,4.0,Excellent
ID00253,Female,22,Mathematics,100.0,1.4,2.34,6.6,11,2.7,Average
ID00254,Male,22,Business,87.3,1.8,2.7,6.8,7,3.1,Good
ID00255,Male,22,Business,66.1,3.4,2.63,7.0,14,2.67,Average
ID00256,Female,20,Engineering,66.6,4.1,3.79,8.2,10,3.82,Excellent
ID00257,Female,19,Psychology,86.6,2.7,2.85,6.5,9,3.18,Good
ID00258,Female,21,Business,77.5,6.3,2.52,7.0,9,2.81,Average
ID00259,Female,22,Mathematics,79.9,3.6,3.32,8.2,10,3.09,Good
ID00260,Male,18,Computer Science,100.0,5.6,3.43,7.0,6,3.82,Excellent
ID00261,Female,22,Psychology,96.0,8.5,3.43,8.0,9,3.91,Excellent
ID00262,Female,23,Engineering,100.0,10.1,2.96,6.3,10,3.42,Good
ID00263,Male,19,Economics,70.1,3.4,3.23,7.5,3,3.38,Good
ID00264,Male,24,Business,79.9,4.3,2.77,9.0,12,2.59,Average
ID00265,Female,19,Mathematics,96.4,4.9,3.94,7.9,8,4.0,Excellent
ID00266,Female,24,Psychology,91.7,3.5,3.67,4.2,9,4.0,Excellent
ID00267,Female,24,Mathematics,100.0,2.1,3.64,7.8,12,3.98,Excellent
ID00268,Female,21,Mathematics,91.3,7.3,3.5,5.3,12,3.94,Excellent
ID00269,Male,20,Economics,100.0,2.1,3.36,5.6,4,3.44,Good
ID00270,Male,24,Engineering,93.1,7.7,2.48,7.7,5,3.02,Good
ID00271,Female,24,Psychology,100.0,5.3,3.42,5.5,5,3.56,Excellent
ID00272,Female,21,Business,80.1,4.8,3.16,5.3,8,3.54,Excellent
ID00273,Female,22,Engineering,85.2,2.5,3.73,7.0,12,3.9,Excellent
ID00274,Female,23,Business,98.7,1.0,3.5,6.1,4,3.69,Excellent
ID00275,Male,18,Computer Science,100.0,7.2,3.38,4.6,7,3.63,Excellent
ID00276,Male,21,Mathematics,95.9,2.5,2.26,7.8,6,2.62,Average
ID00277,Female,20,Computer Science,83.8,5.5,3.06,8.5,9,3.54,Excellent
ID00278,Female,21,Mathematics,100.0,5.7,2.82,8.4,5,3.14,Good
ID00279,Female,19,Economics,52.1,4.1,3.23,5.7,11,2.72,Average
ID00280,Female,22,Engineering,63.7,4.8,2.89,7.6,6,3.16,Good
ID00281,Female,22,Business,95.2,5.3,2.96,6.3,11,3.35,Good
ID00282,Male,24,Economics,85.2,4.6,3.33,5.1,3,3.44,Good
ID00283,Male,22,Business,94.1,2.4,2.88,5.9,6,2.93,Average
ID00284,Male,22,Engineering,86.0,1.4,3.16,4.0,7,3.13,Good
ID00285,Female,22,Psychology,93.6,2.7,2.34,5.4,7,2.4,Poor
ID00286,Male,22,Computer Science,72.8,3.2,2.68,4.8,9,2.45,Poor
ID00287,Male,18,Computer Science,93.6,8.7,3.43,7.3,8,4.0,Excellent
ID00288,Male,20,Business,99.9,1.8,2.48,7.4,10,2.6,Average
ID00289,Male,24,Business,100.0,9.4,3.72,4.5,4,4.0,Excellent
ID00290,Female,22,Business,100.0,11.1,3.59,8.2,5,4.0,Excellent
ID00291,Male,24,Engineering,88.7,2.7,2.97,6.1,4,3.33,Good
ID00292,Male,20,Psychology,89.1,10.9,4.0,5.4,4,4.0,Excellent
ID00293,Female,23,Computer Science,62.2,3.7,3.72,4.3,7,3.84,Excellent
ID00294,Male,22,Economics,77.0,3.4,2.63,5.8,6,2.58,Average
ID00295,Male,24,Mathematics,82.1,8.7,3.47,6.8,7,4.0,Excellent
ID00296,Male,21,Engineering,100.0,4.7,3.13,8.5,8,3.37,Good
ID00297,Female,24,Computer Science,75.8,4.3,2.71,6.8,12,2.75,Average
ID00298,Male,22,Psychology,96.9,2.7,2.57,6.5,9,2.7,Average
ID00299,Female,19,Engineering,85.0,2.8,3.6,7.9,2,3.96,Excellent
ID00300,Male,18,Economics,82.3,4.3,2.8,7.2,6,3.07,Good
ID00301,Male,21,Computer Science,88.7,8.7,3.05,4.7,10,3.37,Good
ID00302,Male,21,Engineering,79.1,1.8,2.64,6.3,12,2.42,Poor
ID00303,Male,19,Computer Science,78.6,3.9,2.73,6.1,4,2.86,Average
ID00304,Female,22,Computer Science,59.4,1.6,3.04,6.8,6,2.56,Average
ID00305,Female,18,Psychology,81.3,2.6,3.29,6.3,10,3.68,Excellent
ID00306,Female,21,Mathematics,77.8,6.0,1.81,5.8,9,2.02,Poor
ID00307,Male,18,Psychology,77.3,2.3,3.11,9.2,5,2.91,Average
ID00308,Male,21,Computer Science,91.3,7.5,2.73,6.9,9,3.37,Good
ID00309,Female,22,Engineering,94.9,2.2,3.8,7.7,8,4.0,Excellent
ID00310,Male,23,Economics,88.5,2.9,4.0,6.8,10,4.0,Excellent
ID00311,Male,21,Psychology,99.9,1.1,2.92,8.2,3,2.95,Average
ID00312,Male,23,Mathematics,93.6,7.5,2.24,6.9,7,2.94,Average
ID00313,Male,21,Computer Science,80.6,6.9,3.16,8.5,7,3.75,Excellent
ID00314,Female,20,Economics,78.1,1.6,3.0,4.0,7,2.78,Average
ID00315,Female,22,Psychology,89.7,3.4,4.0,7.1,14,4.0,Excellent
ID00316,Female,19,Psychology,93.6,3.2,3.93,7.4,7,4.0,Excellent
ID00317,Male,23,Psychology,100.0,3.0,3.53,7.5,7,3.86,Excellent
ID00318,Male,19,Psychology,100.0,11.2,2.81,5.4,8,3.62,Excellent
ID00319,Male,22,Economics,76.9,3.0,3.44,5.9,5,3.46,Good
ID00320,Male,24,Engineering,83.5,2.3,3.23,5.4,7,3.53,Excellent
ID00321,Male,19,Mathematics,95.1,1.2,3.22,7.7,12,3.52,Excellent
ID00322,Female,22,Mathematics,100.0,2.4,2.32,8.4,4,2.43,Poor
ID00323,Female,19,Computer Science,99.1,8.7,3.63,4.5,4,4.0,Excellent
ID00324,Male,23,Business,84.0,4.6,3.15,7.3,10,3.52,Excellent
ID00325,Female,20,Engineering,66.2,4.6,3.05,5.7,5,2.99,Average
ID00326,Female,19,Computer Science,70.0,2.5,2.8,9.6,5,2.55,Average
ID00327,Female,23,Computer Science,89.1,7.9,2.7,7.8,9,3.17,Good
ID00328,Female,21,Psychology,90.1,5.6,3.26,6.5,10,3.49,Good
ID00329,Male,22,Business,68.5,3.1,2.23,6.8,8,2.3,Poor
ID00330,Male,18,Business,85.7,2.1,3.49,8.9,9,3.69,Excellent
ID00331,Male,24,Engineering,94.5,3.9,2.57,7.1,8,2.88,Average
ID00332,Female,18,Business,67.7,2.2,2.07,4.3,5,2.12,Poor
ID00333,Male,22,Computer Science,100.0,3.6,4.0,9.3,6,4.0,Excellent
ID00334,Male,20,Business,79.3,4.4,2.67,8.2,18,2.24,Poor
ID00335,Male,19,Business,100.0,2.6,2.74,6.2,9,2.97,Average
ID00336,Male,20,Mathematics,77.0,0.7,3.67,7.9,7,3.56,Excellent
ID00337,Female,18,Computer Science,69.6,5.2,4.0,6.1,6,4.0,Excellent
ID00338,Female,24,Economics,78.1,2.6,2.33,6.0,10,2.22,Poor
ID00339,Male,23,Business,83.6,4.4,2.62,6.8,11,2.89,Average
